row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
1024,1024,1024,2,1,2,341.333333,6291456,33.459672,5200.625109,11420.901500,5200.625109,60467.055345,307.810576,6.976640,0.901789
1024,1024,1024,4,2,2,341.333333,6291456,96.770043,14755.686338,33030.841464,14755.686338,60467.055345,611.732276,3.510496,1.792184
1024,1024,1024,6,3,2,341.333333,6291456,135.561961,21883.324732,46271.816168,21883.324732,60467.055345,916.449685,2.343264,2.684911
1024,1024,1024,8,4,2,341.333333,6291456,154.087642,28197.002134,52595.248342,28197.002134,60467.055345,1198.287002,1.792128,3.510606
1024,1024,1024,10,5,2,341.333333,6291456,163.238213,33989.498488,55718.643382,33989.498488,60467.055345,1505.932394,1.426016,4.411911
1024,1024,1024,12,6,2,341.333333,6291456,163.549316,40524.675429,55824.833308,40524.675429,60467.055345,1801.870498,1.191808,5.278917
1024,1024,1024,14,7,2,341.333333,6291456,170.209561,46901.163415,58098.196851,46901.163415,60467.055345,2109.280478,1.018112,6.179533
1024,1024,1024,16,8,2,341.333333,6291456,177.149576,53859.438905,60467.055345,53859.438905,60467.055345,2360.328608,0.909824,6.915025
