row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
128,128,128,2,1,2,42.666667,98304,37.145965,7503.227093,1584.894489,1584.894489,7558.421758,183.061458,0.022912,4.290503
128,128,128,4,2,2,42.666667,98304,96.753304,15534.459861,4128.140951,4128.140951,7558.421758,273.066674,0.015360,6.400000
128,128,128,6,3,2,42.666667,98304,134.975753,23280.133947,5758.965465,5758.965465,7558.421758,311.334914,0.013472,7.296912
128,128,128,8,4,2,42.666667,98304,154.479937,29720.489401,6591.143963,6591.143963,7558.421758,333.516544,0.012576,7.816794
128,128,128,10,5,2,42.666667,98304,162.852384,36599.511502,6948.368388,6948.368388,7558.421758,328.501244,0.012768,7.699248
128,128,128,12,6,2,42.666667,98304,163.447342,44034.688734,6973.753268,6973.753268,7558.421758,322.837433,0.012992,7.566502
128,128,128,14,7,2,42.666667,98304,170.176760,50533.783112,7260.875073,7260.875073,7558.421758,306.960193,0.013664,7.194380
128,128,128,16,8,2,42.666667,98304,177.150510,57260.124811,7558.421758,7558.421758,7558.421758,331.827840,0.012640,7.777215
