row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
64,64,64,2,1,2,21.333333,24576,34.371054,7377.843169,733.249155,733.249155,3770.471998,51.360499,0.010208,2.407523
64,64,64,4,2,2,21.333333,24576,96.822537,15252.014628,2065.547463,2065.547463,3770.471998,60.014649,0.008736,2.813187
64,64,64,6,3,2,21.333333,24576,135.235784,23003.496516,2885.030057,2885.030057,3770.471998,58.935253,0.008896,2.762590
64,64,64,8,4,2,21.333333,24576,153.716335,29051.457606,3279.281812,3279.281812,3770.471998,49.951220,0.010496,2.341463
64,64,64,10,5,2,21.333333,24576,162.675535,36188.991207,3470.411409,3470.411409,3770.471998,58.514284,0.008960,2.742857
64,64,64,12,6,2,21.333333,24576,163.051812,44189.328735,3478.438646,3478.438646,3770.471998,45.637883,0.011488,2.139276
64,64,64,14,7,2,21.333333,24576,170.852636,51827.233321,3644.856235,3644.856235,3770.471998,48.907464,0.010720,2.292537
64,64,64,16,8,2,21.333333,24576,176.740875,56871.917626,3770.471998,3770.471998,3770.471998,46.022471,0.011392,2.157303
