row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
256,256,256,2,1,2,85.333333,393216,31.855212,5002.151569,2718.311405,2718.311405,15007.031196,174.037510,0.192800,2.039502
256,256,256,4,2,2,85.333333,393216,96.647685,15293.725105,8247.269078,8247.269078,15007.031196,487.936700,0.068768,5.718008
256,256,256,6,3,2,85.333333,393216,134.858032,22961.519011,11507.885411,11507.885411,15007.031196,684.896139,0.048992,8.026127
256,256,256,8,4,2,85.333333,393216,154.070657,29485.439815,13147.362739,13147.362739,15007.031196,884.128199,0.037952,10.360877
256,256,256,10,5,2,85.333333,393216,163.297011,36377.309836,13934.678297,13934.678297,15007.031196,970.903741,0.034560,11.377778
256,256,256,12,6,2,85.333333,393216,163.470433,44620.256331,13949.476910,13949.476910,15007.031196,1075.462593,0.031200,12.603077
256,256,256,14,7,2,85.333333,393216,170.608525,50145.395711,14558.594093,14558.594093,15007.031196,1186.171974,0.028288,13.900453
256,256,256,16,8,2,85.333333,393216,175.863647,56158.044299,15007.031196,15007.031196,15007.031196,1297.742602,0.025856,15.207921
