row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
3072,3072,3072,2,1,2,1024.000000,56623104,35.009972,7577.784680,35850.211431,7577.784680,181162.059255,312.226333,185.705215,0.304909
3072,3072,3072,4,2,2,1024.000000,56623104,96.588701,15349.693616,98906.829652,15349.693616,181162.059255,624.279033,92.878433,0.609647
3072,3072,3072,6,3,2,1024.000000,56623104,135.324142,23344.921458,138571.921483,23344.921458,181162.059255,936.327734,61.924961,0.914383
3072,3072,3072,8,4,2,1024.000000,56623104,153.652982,30982.855576,157340.653371,30982.855576,181162.059255,1248.179217,46.453312,1.218925
3072,3072,3072,10,5,2,1024.000000,56623104,162.718923,36824.440613,166624.177442,36824.440613,181162.059255,1556.079455,37.261631,1.519609
3072,3072,3072,12,6,2,1024.000000,56623104,163.712097,44345.063234,167641.187461,44345.063234,181162.059255,1463.208480,39.626656,1.428915
3072,3072,3072,14,7,2,1024.000000,56623104,169.619310,50928.233770,173690.173876,50928.233770,181162.059255,2178.649635,26.613760,2.127588
3072,3072,3072,16,8,2,1024.000000,56623104,176.916073,57752.894985,181162.059255,57752.894985,181162.059255,2495.162227,23.237791,2.436682
