row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,16,16,2,1,2,5.333333,1536,47.974585,7377.843169,255.864456,255.864456,945.926336,0.795031,0.010304,0.149068
16,16,16,4,2,2,5.333333,1536,96.498979,14425.809014,514.661221,514.661221,945.926336,0.785276,0.010432,0.147239
16,16,16,6,3,2,5.333333,1536,135.274495,20510.043512,721.463976,721.463976,945.926336,0.782875,0.010464,0.146789
16,16,16,8,4,2,5.333333,1536,153.558762,28752.725700,818.980064,818.980064,945.926336,0.658098,0.012448,0.123393
16,16,16,10,5,2,5.333333,1536,162.573861,35187.114210,867.060590,867.060590,945.926336,0.653061,0.012544,0.122449
16,16,16,12,6,2,5.333333,1536,163.453713,41873.252787,871.753138,871.753138,945.926336,0.598131,0.013696,0.112150
16,16,16,14,7,2,5.333333,1536,170.348690,48369.237000,908.526347,908.526347,945.926336,0.588506,0.013920,0.110345
16,16,16,16,8,2,5.333333,1536,177.361188,55188.212977,945.926336,945.926336,945.926336,0.566372,0.014464,0.106195
