row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
512,512,512,2,1,2,170.666667,1572864,33.469352,5440.083067,5712.102788,5440.083067,29727.843168,210.731986,1.273824,1.234758
512,512,512,4,2,2,170.666667,1572864,96.525072,15060.337736,16473.612286,15060.337736,29727.843168,578.644417,0.463904,3.390495
512,512,512,6,3,2,170.666667,1572864,135.196007,22631.137322,23073.451832,22631.137322,29727.843168,852.934202,0.314720,4.997661
512,512,512,8,4,2,170.666667,1572864,153.271171,28411.880765,26158.279908,26158.279908,29727.843168,1112.105009,0.241376,6.516240
512,512,512,10,5,2,170.666667,1572864,163.804809,34721.059560,27956.020769,27956.020769,29727.843168,1341.318809,0.200128,7.859290
512,512,512,12,6,2,170.666667,1572864,163.972911,41734.368634,27984.710148,27984.710148,29727.843168,1565.623046,0.171456,9.173573
512,512,512,14,7,2,170.666667,1572864,170.788285,47934.902289,29147.867278,29147.867278,29727.843168,1863.307049,0.144064,10.917815
512,512,512,16,8,2,170.666667,1572864,174.186581,53989.430492,29727.843168,29727.843168,29727.843168,2153.133417,0.124672,12.616016
