row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,256,2,1,2,15.003663,2236416,43.819080,8508.898756,657.446717,657.446717,2616.416192,285.988265,0.117328,19.061230
16,4096,256,4,2,2,15.003663,2236416,96.908115,17379.397473,1453.976707,1453.976707,2616.416192,425.213315,0.078912,28.340634
16,4096,256,6,3,2,15.003663,2236416,135.591118,24440.535651,2034.363444,2034.363444,2616.416192,450.758072,0.074440,30.043202
16,4096,256,8,4,2,15.003663,2236416,153.794544,30857.614488,2307.481515,2307.481515,2616.416192,452.557628,0.074144,30.163143
16,4096,256,10,5,2,15.003663,2236416,163.177846,40466.423726,2448.265412,2448.265412,2616.416192,453.830770,0.073936,30.247998
16,4096,256,12,6,2,15.003663,2236416,163.741305,50695.665875,2456.719355,2456.719355,2616.416192,451.388723,0.074336,30.085235
16,4096,256,14,7,2,15.003663,2236416,170.585980,58326.056685,2559.414561,2559.414561,2616.416192,449.887805,0.074584,29.985198
16,4096,256,16,8,2,15.003663,2236416,174.385161,63624.706975,2616.416192,2616.416192,2616.416192,499.500303,0.067176,33.291890
