M,K,N,peak_bandwidth_GBps,required_full_bw_GFLOPS,min_sms_compute_for_full_bw,max_real_GFLOPS,max_predicted_GFLOPS,arithmetic_intensity
16,4096,16,176.336751,1407.944118,2,33.526535,1407.944118,7.984405
16,4096,32,176.426960,1876.999555,2,67.363224,1876.999555,10.638961
16,4096,64,177.443374,2264.199564,2,128.612291,2264.199564,12.760125
16,4096,128,176.843732,2506.408049,2,253.554819,2506.408049,14.173010
16,4096,256,174.385161,2616.416192,2,499.500303,2616.416192,15.003663
16,4096,512,177.462992,2742.975156,2,358.395641,2742.975156,15.456604
16,4096,1024,172.702164,2710.299097,2,683.556697,2710.299097,15.693487
