row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,64,2,1,2,12.760125,657408,42.902839,8506.900450,547.445571,547.445571,2264.199564,111.491333,0.075240,8.737480
16,4096,64,4,2,2,12.760125,657408,96.707289,16821.311806,1233.997055,1233.997055,2264.199564,128.564987,0.065248,10.075528
16,4096,64,6,3,2,12.760125,657408,135.517427,24206.506367,1729.219259,1729.219259,2264.199564,128.612291,0.065224,10.079235
16,4096,64,8,4,2,12.760125,657408,153.514851,33136.101880,1958.868629,1958.868629,2264.199564,126.900153,0.066104,9.945056
16,4096,64,10,5,2,12.760125,657408,163.342263,38900.503924,2084.267632,2084.267632,2264.199564,126.471602,0.066328,9.911471
16,4096,64,12,6,2,12.760125,657408,163.484803,47445.248488,2086.086458,2086.086458,2264.199564,126.076226,0.066536,9.880485
16,4096,64,14,7,2,12.760125,657408,170.513752,54465.827922,2175.776723,2175.776723,2264.199564,123.638256,0.067848,9.689424
16,4096,64,16,8,2,12.760125,657408,177.443374,65170.738955,2264.199564,2264.199564,2264.199564,124.815618,0.067208,9.781693
