row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,512,2,1,2,15.456604,4341760,43.138623,8534.033391,666.776596,666.776596,2742.975156,254.887675,0.263288,16.490536
16,4096,512,4,2,2,15.456604,4341760,96.881953,17201.342813,1497.465966,1497.465966,2742.975156,353.457531,0.189864,22.867736
16,4096,512,6,3,2,15.456604,4341760,135.300339,25207.270784,2091.283724,2091.283724,2742.975156,355.660486,0.188688,23.010261
16,4096,512,8,4,2,15.456604,4341760,153.625948,34658.420460,2374.535404,2374.535404,2742.975156,353.740766,0.189712,22.886060
16,4096,512,10,5,2,15.456604,4341760,163.396761,40833.723665,2525.558987,2525.558987,2742.975156,356.340346,0.188328,23.054246
16,4096,512,12,6,2,15.456604,4341760,163.969831,50007.327094,2534.416702,2534.416702,2742.975156,358.395641,0.187248,23.187218
16,4096,512,14,7,2,15.456604,4341760,170.627374,57773.922209,2637.319716,2637.319716,2742.975156,356.098317,0.188456,23.038587
16,4096,512,16,8,2,15.456604,4341760,177.462992,63019.309789,2742.975156,2742.975156,2742.975156,357.220447,0.187864,23.111186
