row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,32,2,1,2,10.638961,394240,42.595395,8419.864923,453.170743,453.170743,1876.999555,67.363224,0.062264,6.331748
16,4096,32,4,2,2,10.638961,394240,96.888377,17607.662867,1030.791668,1030.791668,1876.999555,66.975984,0.062624,6.295350
16,4096,32,6,3,2,10.638961,394240,135.047034,24954.110076,1436.760133,1436.760133,1876.999555,65.915015,0.063632,6.195625
16,4096,32,8,4,2,10.638961,394240,153.797946,34588.356532,1636.250352,1636.250352,1876.999555,65.593397,0.063944,6.165395
16,4096,32,10,5,2,10.638961,394240,163.530280,41122.999721,1739.792274,1739.792274,1876.999555,65.527812,0.064008,6.159230
16,4096,32,12,6,2,10.638961,394240,163.474426,50159.293954,1739.198045,1739.198045,1876.999555,65.544192,0.063992,6.160770
16,4096,32,14,7,2,10.638961,394240,170.719715,57247.023237,1816.280395,1816.280395,1876.999555,64.109567,0.065424,6.025924
16,4096,32,16,8,2,10.638961,394240,176.426960,64217.716533,1876.999555,1876.999555,1876.999555,63.634906,0.065912,5.981308
