row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,128,2,1,2,14.173010,1183744,43.599931,8286.629045,617.942271,617.942271,2506.408049,208.838088,0.080336,14.734914
16,4096,128,4,2,2,14.173010,1183744,96.764893,16839.596051,1371.449835,1371.449835,2506.408049,229.598419,0.073072,16.199693
16,4096,128,6,3,2,14.173010,1183744,135.293339,24953.760387,1917.513901,1917.513901,2506.408049,229.673849,0.073048,16.205015
16,4096,128,8,4,2,14.173010,1183744,153.682597,31321.293503,2178.145048,2178.145048,2506.408049,249.720405,0.067184,17.619433
16,4096,128,10,5,2,14.173010,1183744,163.570571,41096.120428,2318.287397,2318.287397,2506.408049,250.555796,0.066960,17.678375
16,4096,128,12,6,2,14.173010,1183744,163.127553,47210.258528,2312.008506,2312.008506,2506.408049,253.554819,0.066168,17.889976
16,4096,128,14,7,2,14.173010,1183744,170.483278,56446.937619,2416.261266,2416.261266,2506.408049,247.890303,0.067680,17.490307
16,4096,128,16,8,2,14.173010,1183744,176.843732,63126.506901,2506.408049,2506.408049,2506.408049,250.316543,0.067024,17.661494
