row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,1024,2,1,2,15.693487,8552448,37.161910,8700.803946,583.199932,583.199932,2710.299097,255.574919,0.525160,16.285414
16,4096,1024,4,2,2,15.693487,8552448,96.740048,17297.110394,1518.188647,1518.188647,2710.299097,381.109797,0.352176,24.284584
16,4096,1024,6,3,2,15.693487,8552448,135.325075,25196.322142,2123.722255,2123.722255,2710.299097,683.556697,0.196352,43.556713
16,4096,1024,8,4,2,15.693487,8552448,153.843264,34345.798916,2414.337203,2414.337203,2710.299097,673.621453,0.199248,42.923633
16,4096,1024,10,5,2,15.693487,8552448,162.045140,40991.993985,2543.053230,2543.053230,2710.299097,661.562161,0.202880,42.155206
16,4096,1024,12,6,2,15.693487,8552448,163.654893,48520.706406,2568.315868,2568.315868,2710.299097,649.273035,0.206720,41.372134
16,4096,1024,14,7,2,15.693487,8552448,171.117946,58353.785453,2685.437192,2685.437192,2710.299097,629.869933,0.213088,40.135755
16,4096,1024,16,8,2,15.693487,8552448,172.702164,61837.328035,2710.299097,2710.299097,2710.299097,633.461014,0.211880,40.364581
