row_size,K,N,num_sms,tpc_count,sms_per_tpc,arithmetic_intensity_flops_per_byte,theoretical_total_bytes,bandwidth_roof_GBps,compute_roof_GFLOPS,memory_roof_GFLOPS,predicted_GFLOPS,required_full_bw_GFLOPS,real_GFLOPS,real_time_ms,implied_real_GBps
16,4096,16,2,1,2,7.984405,262656,48.068714,8289.097683,383.800105,383.800105,1407.944118,33.526535,0.062552,4.199002
16,4096,16,4,2,2,7.984405,262656,96.866426,17038.085287,773.420819,773.420819,1407.944118,29.806024,0.070360,3.733030
16,4096,16,6,3,2,7.984405,262656,135.501193,24388.785952,1081.896467,1081.896467,1407.944118,32.459633,0.064608,4.065379
16,4096,16,8,4,2,7.984405,262656,154.069962,32800.978813,1230.157043,1230.157043,1407.944118,32.768002,0.064000,4.104000
16,4096,16,10,5,2,7.984405,262656,163.068404,41274.588544,1302.004258,1302.004258,1407.944118,32.109751,0.065312,4.021558
16,4096,16,12,6,2,7.984405,262656,163.219352,46739.381496,1303.209484,1303.209484,1407.944118,32.415482,0.064696,4.059849
16,4096,16,14,7,2,7.984405,262656,170.533608,56902.461392,1361.609471,1361.609471,1407.944118,31.771178,0.066008,3.979154
16,4096,16,16,8,2,7.984405,262656,176.336751,62111.087921,1407.944118,1407.944118,1407.944118,32.895468,0.063752,4.119965
