rtc_enabled,execution_horizon,inference_delay,avg_sum_reward,avg_max_reward,pc_success,eval_s,eval_ep_s
False,10,0,0.95,0.95,95.0,1487.5084807872772,14.875084810256958
False,10,2,0.94,0.94,94.0,1427.6630430221558,14.276630432605744
False,10,4,0.97,0.97,97.0,1613.8880789279938,16.13888079404831
False,10,6,0.94,0.94,94.0,1487.2619154453278,14.872619156837464
False,10,8,0.94,0.94,94.0,1391.7671530246735,13.917671532630921
False,20,0,0.94,0.94,94.0,1465.3985166549683,14.653985168933868
False,20,2,0.96,0.96,96.0,1522.0349967479706,15.220349969863891
False,20,4,0.95,0.95,95.0,1589.0762374401093,15.890762376785279
False,20,6,0.95,0.95,95.0,1665.429161787033,16.654291620254515
True,20,0,0.95,0.95,95.0,3527.2276890277863,35.27227689266205
True,10,0,0.95,0.95,95.0,3618.820067882538,36.18820068597793
True,20,2,0.96,0.96,96.0,3961.8092777729034,39.61809278011322
True,10,2,0.96,0.96,96.0,3925.5352165699005,39.25535216569901
True,40,0,0.97,0.97,97.0,9572.423618555069,31.908078730106354
True,40,4,0.9733333333333334,0.9733333333333334,97.33333333333334,11034.338839530945,36.78112946589788
True,40,8,0.9766666666666667,0.9766666666666667,97.66666666666667,11161.21089053154,37.2040363017718
True,20,0,0.97,0.97,97.0,9616.748014450073,32.055826716423034
True,20,4,0.9733333333333334,0.9733333333333334,97.33333333333334,11135.298947811127,37.11766315937042
True,20,8,0.9766666666666667,0.9766666666666667,97.66666666666667,11254.036804914474,37.51345601717631
True,10,0,0.9666666666666667,0.9666666666666667,96.66666666666667,9674.572560787201,32.24857520341873
True,10,4,0.9566666666666667,0.9566666666666667,95.66666666666667,11237.604631662369,37.45868210633596
True,10,8,0.9733333333333334,0.9733333333333334,97.33333333333334,11114.5919277668,37.048639760017394
True,30,0,0.9666666666666667,0.9666666666666667,96.66666666666667,9571.119086742401,31.903730290730795
True,50,0,0.9733333333333334,0.9733333333333334,97.33333333333334,11106.493751764297,37.02164584000905
